Level,District Code,District Name,School Code,School Name,Content,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate 2025,Participation Rate 2024,Participation Rate 2023,Mean Scale Score,Standard Deviation,Number Did Not Yet Meet Expectations,Percent Did Not Yet Meet Expectations,Number Partially Met Expectations,Percent Partially Met Expectations,Number Approached Expectations,Percent Approached Expectations,Number Met Expectations,Percent Met Expectations,Number Exceeded Expectations,Percent Exceeded Expectations,Number Met or Exceeded Expectations,2025,2024,2023,"Change
2025-2024","Congressional
District"
DISTRICT,2055,Dolores RE-4A,0000,All Schools,English Language Arts,07,      47,      42,       5,89.4,98.1,95.5,735,34,       6,14.3,      10,23.8,      13,31.0,- -,- -,- -,- -,      13,31.0,41.5,45.3, -10.5,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,English Language Arts,08,      53,      48,       5,90.6,98.2,96.7,737,38,       7,14.6,       9,18.8,      14,29.2,      15,31.3,       3,6.3,      18,37.5,33.3,13.8,   4.2,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,All Grades,     299,     285,      14,95.3,96.5,96.3,730,31,      52,18.2,      78,27.4,      80,28.1,      68,23.9,       7,2.5,      75,26.3,25.1,24.5,   1.2,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,03,      36,      35,       1,97.2,98.0,92.2,744,33,       3,8.6,      10,28.6,       6,17.1,      13,37.1,       3,8.6,      16,45.7,46.0,38.3,  -0.3,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,04,      48,      47,       1,97.9,96.0,96.5,731,29,       5,10.6,      19,40.4,      10,21.3,- -,- -,- -,- -,      13,27.7,27.1,30.9,   0.6,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,05,      52,      52,       0,100.0,94.5,100.0,729,27,      10,19.2,      13,25.0,      20,38.5,- -,- -,- -,- -,       9,17.3,30.8,23.1, -13.5,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,06,      63,      61,       2,96.8,94.3,96.7,729,29,      14,23.0,      11,18.0,      19,31.1,- -,- -,- -,- -,      17,27.9,12.0,27.1,  15.9,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,07,      47,      42,       5,89.4,98.1,95.5,722,26,       8,19.0,      15,35.7,      13,31.0,- -,- -,- -,- -,       6,14.3,13.2,18.8,   1.1,3rd Congressional District
DISTRICT,2055,Dolores RE-4A,0000,All Schools,Mathematics,08,      53,      48,       5,90.6,98.2,96.7,727,37,      12,25.0,      10,20.8,      12,25.0,- -,- -,- -,- -,      14,29.2,22.2,12.1,   7.0,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,All Grades,     223,      19,     204,8.5,6.7,3.8,720,39,       5,26.3,- -,- -,- -,- -,- -,- -,- -,- -,       5,26.3,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,03,      41,< 16,- -,9.8,15.8,3.6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,04,      38,< 16,- -,18.4,3.2,0.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,05,      30,< 16,- -,3.3,3.0,13.2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,06,      36,< 16,- -,2.8,12.2,3.1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,07,      46,< 16,- -,10.9,2.7,2.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,English Language Arts,08,      32,< 16,- -,3.1,2.2,0.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,All Grades,     223,      19,     204,8.5,6.7,3.8,722,32,       4,21.1,       7,36.8,       4,21.1,- -,- -,- -,- -,       4,21.1,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,03,      41,< 16,- -,9.8,15.8,3.6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,04,      38,< 16,- -,18.4,3.2,0.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,05,      30,< 16,- -,3.3,3.0,13.2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,06,      36,< 16,- -,2.8,12.2,3.1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,07,      46,< 16,- -,10.9,2.7,2.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2070,Mancos Re-6,0000,All Schools,Mathematics,08,      32,< 16,- -,3.1,2.2,0.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,All Grades,"   2,499","   2,392",     107,95.7,94.5,95.9,737,37,     399,16.7,     497,20.8,     595,24.9,     731,30.6,     170,7.1,     901,37.7,37.0,38.3,   0.7,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,03,     411,     398,      13,96.8,96.8,98.5,728,43,     100,25.1,      82,20.6,      95,23.9,     109,27.4,      12,3.0,     121,30.4,30.2,28.1,   0.2,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,04,     411,     394,      17,95.9,97.2,98.0,734,36,      74,18.8,      83,21.1,     104,26.4,     109,27.7,      24,6.1,     133,33.8,34.5,38.0,  -0.7,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,05,     400,     379,      21,94.8,96.8,96.6,738,32,      52,13.7,      75,19.8,     103,27.2,     140,36.9,       9,2.4,     149,39.3,42.1,38.8,  -2.8,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,06,     400,     384,      16,96.0,95.3,97.1,743,34,      40,10.4,      77,20.1,     103,26.8,     125,32.6,      39,10.2,     164,42.7,38.8,38.6,   3.9,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,07,     421,     401,      20,95.2,95.0,93.7,745,37,      45,11.2,      78,19.5,      97,24.2,     124,30.9,      57,14.2,     181,45.1,40.0,42.9,   5.1,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,English Language Arts,08,     456,     436,      20,95.6,87.0,92.3,734,39,      88,20.2,     102,23.4,      93,21.3,     124,28.4,      29,6.7,     153,35.1,35.9,42.7,  -0.8,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Spanish Language Arts,All Grades,      10,< 16,- -,60.0,86.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Spanish Language Arts,03,       5,< 16,- -,80.0,80.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Spanish Language Arts,04,       5,< 16,- -,40.0,90.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,All Grades,"   2,545","   2,425",     120,95.3,95.4,96.2,726,33,     548,22.6,     708,29.2,     588,24.2,     524,21.6,      57,2.4,     581,24.0,22.8,23.0,   1.2,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,03,     418,     403,      15,96.4,97.1,98.7,728,37,     104,25.8,      86,21.3,      98,24.3,      94,23.3,      21,5.2,     115,28.5,28.8,29.4,  -0.3,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,04,     417,     399,      18,95.7,97.0,97.7,725,31,      96,24.1,     117,29.3,      96,24.1,- -,- -,- -,- -,      90,22.6,21.9,20.0,   0.7,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,05,     401,     379,      22,94.5,98.5,97.1,730,34,      70,18.5,     113,29.8,      84,22.2,      98,25.9,      14,3.7,     112,29.6,26.2,20.6,   3.4,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,06,     408,     391,      17,95.8,96.2,97.6,725,31,      82,21.0,     116,29.7,     100,25.6,      85,21.7,       8,2.0,      93,23.8,22.2,23.4,   1.6,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,07,     430,     407,      23,94.7,96.1,94.2,726,26,      59,14.5,     145,35.6,     134,32.9,- -,- -,- -,- -,      69,17.0,16.7,19.5,   0.3,3rd Congressional District
DISTRICT,2180,Montrose County RE-1J,0000,All Schools,Mathematics,08,     471,     446,      25,94.7,88.3,92.3,721,36,     137,30.7,     131,29.4,      76,17.0,      94,21.1,       8,1.8,     102,22.9,21.6,25.3,   1.3,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,All Grades,     111,     106,       5,95.5,96.3,95.5,736,29,      12,11.3,      26,24.5,      31,29.2,      34,32.1,       3,2.8,      37,34.9,34.6,35.8,   0.3,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,03,      22,      20,       2,90.9,88.9,95.2,728,24,- -,- -,- -,- -,       6,30.0,- -,- -,- -,- -,- -,- -,- -,30.0,- -,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,04,      18,      16,       2,88.9,100.0,95.0,746,29,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,       7,43.8,26.3,31.6,  17.5,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,05,      17,      17,       0,100.0,100.0,100.0,741,29,- -,- -,- -,- -,       6,35.3,- -,- -,- -,- -,       7,41.2,36.4,50.0,   4.8,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,06,      21,      21,       0,100.0,89.5,100.0,730,25,       3,14.3,       6,28.6,       7,33.3,- -,- -,- -,- -,       5,23.8,41.2,28.6, -17.4,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,07,      15,< 16,- -,93.3,100.0,81.8,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38.1,- -,- -,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,English Language Arts,08,      18,      18,       0,100.0,100.0,94.4,737,29,- -,- -,- -,- -,       4,22.2,- -,- -,- -,- -,       7,38.9,- -,- -,- -,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,All Grades,     111,     106,       5,95.5,96.3,95.5,727,29,      17,16.0,      30,28.3,      33,31.1,- -,- -,- -,- -,      26,24.5,17.3,21.7,   7.2,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,03,      22,      20,       2,90.9,88.9,95.2,728,29,       3,15.0,       6,30.0,       5,25.0,- -,- -,- -,- -,       6,30.0,31.3,30.0,  -1.3,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,04,      18,      16,       2,88.9,100.0,95.0,733,33,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,       5,31.3,21.1,15.8,  10.2,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,05,      17,      17,       0,100.0,100.0,100.0,734,29,- -,- -,- -,- -,       6,35.3,- -,- -,- -,- -,       6,35.3,22.7,35.0,  12.6,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,06,      21,      21,       0,100.0,89.5,100.0,723,26,       3,14.3,       9,42.9,       6,28.6,- -,- -,- -,- -,       3,14.3,- -,- -,- -,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,07,      15,< 16,- -,93.3,100.0,81.8,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3rd Congressional District
DISTRICT,2190,West End RE-2,0000,All Schools,Mathematics,08,      18,      18,       0,100.0,100.0,94.4,715,31,       5,27.8,       6,33.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,17.6,- -,3rd Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,All Grades,     577,     533,      44,92.4,0.2,0.0,727,30,      97,18.2,     154,28.9,     159,29.8,     113,21.2,      10,1.9,     123,23.1,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,03,     103,     100,       3,97.1,0.0,0.0,723,33,      22,22.0,      31,31.0,      34,34.0,- -,- -,- -,- -,      13,13.0,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,04,      92,      81,      11,88.0,0.0,0.0,735,30,      12,14.8,      14,17.3,      24,29.6,- -,- -,- -,- -,      31,38.3,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,05,      83,      73,      10,88.0,0.9,0.0,726,24,       7,9.6,      31,42.5,      23,31.5,- -,- -,- -,- -,      12,16.4,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,06,     112,     109,       3,97.3,0.0,0.0,722,27,      22,20.2,      44,40.4,      23,21.1,- -,- -,- -,- -,      20,18.3,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,07,      87,      80,       7,92.0,0.0,0.0,735,30,       9,11.3,      17,21.3,      31,38.8,      19,23.8,       4,5.0,      23,28.8,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,English Language Arts,08,     100,      90,      10,90.0,0.0,0.0,724,32,      25,27.8,      17,18.9,      24,26.7,- -,- -,- -,- -,      24,26.7,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,All Grades,     577,     532,      45,92.2,0.2,0.0,722,29,     114,21.4,     184,34.6,     142,26.7,      87,16.4,       5,0.9,      92,17.3,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,03,     103,     100,       3,97.1,0.0,0.0,728,32,      17,17.0,      28,28.0,      31,31.0,- -,- -,- -,- -,      24,24.0,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,04,      91,      80,      11,87.9,0.0,0.0,733,28,      12,15.0,      18,22.5,      22,27.5,- -,- -,- -,- -,      28,35.0,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,05,      83,      72,      11,86.7,0.9,0.0,720,29,      20,27.8,      25,34.7,      14,19.4,- -,- -,- -,- -,      13,18.1,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,06,     112,     109,       3,97.3,0.0,0.0,711,26,      36,33.0,      45,41.3,      21,19.3,- -,- -,- -,- -,       7,6.4,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,07,      88,      81,       7,92.0,0.0,0.0,722,19,       7,8.6,      39,48.1,      30,37.0,- -,- -,- -,- -,       5,6.2,- -,- -,- -,4th Congressional District
DISTRICT,2395,Brush RE-2(J),0000,All Schools,Mathematics,08,     100,      90,      10,90.0,0.0,0.0,721,30,      22,24.4,      29,32.2,      24,26.7,- -,- -,- -,- -,      15,16.7,- -,- -,- -,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,All Grades,"   1,532","   1,511",      21,98.6,97.8,99.0,725,35,     363,24.0,     379,25.1,     406,26.9,     316,20.9,      47,3.1,     363,24.0,22.4,25.3,   1.6,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,03,     267,     267,       0,100.0,96.9,99.6,715,41,     101,37.8,      58,21.7,      52,19.5,      52,19.5,       4,1.5,      56,21.0,19.8,24.4,   1.2,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,04,     263,     260,       3,98.9,97.9,99.0,724,30,      58,22.3,      68,26.2,      81,31.2,      48,18.5,       5,1.9,      53,20.4,17.9,20.6,   2.5,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,05,     262,     259,       3,98.9,99.1,98.7,731,31,      46,17.8,      54,20.8,      89,34.4,      67,25.9,       3,1.2,      70,27.0,19.9,29.7,   7.1,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,06,     221,     218,       3,98.6,98.0,99.3,730,30,      33,15.1,      60,27.5,      68,31.2,      52,23.9,       5,2.3,      57,26.1,26.1,24.6,   0.0,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,07,     246,     242,       4,98.4,97.8,99.2,726,33,      51,21.1,      80,33.1,      59,24.4,      36,14.9,      16,6.6,      52,21.5,24.5,28.4,  -3.0,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,English Language Arts,08,     273,     265,       8,97.1,97.1,98.3,727,39,      74,27.9,      59,22.3,      57,21.5,      61,23.0,      14,5.3,      75,28.3,26.8,23.6,   1.5,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Spanish Language Arts,All Grades,< 4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Spanish Language Arts,04,< 4,- -,- -,- -,N/A,N/A,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,N/A,N/A,- -,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,All Grades,"   1,538","   1,514",      24,98.4,97.8,99.2,720,31,     406,26.8,     497,32.8,     361,23.8,     229,15.1,      21,1.4,     250,16.5,18.8,18.0,  -2.3,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,03,     269,     268,       1,99.6,97.3,99.6,724,35,      69,25.7,      66,24.6,      71,26.5,      54,20.1,       8,3.0,      62,23.1,30.6,31.4,  -7.5,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,04,     265,     263,       2,99.2,97.9,99.0,721,29,      69,26.2,      86,32.7,      68,25.9,- -,- -,- -,- -,      40,15.2,24.5,19.4,  -9.3,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,05,     264,     261,       3,98.9,99.1,98.7,728,30,      33,12.6,     101,38.7,      69,26.4,      54,20.7,       4,1.5,      58,22.2,18.1,21.6,   4.1,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,06,     221,     218,       3,98.6,98.0,99.3,715,28,      66,30.3,      74,33.9,      51,23.4,- -,- -,- -,- -,      27,12.4,11.4,12.0,   1.0,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,07,     246,     241,       5,98.0,97.8,99.2,718,25,      58,24.1,      99,41.1,      59,24.5,      22,9.1,       3,1.2,      25,10.4,11.5,10.6,  -1.1,4th Congressional District
DISTRICT,2405,Fort Morgan Re-3,0000,All Schools,Mathematics,08,     273,     263,      10,96.3,97.1,99.2,712,34,     111,42.2,      71,27.0,      43,16.3,      35,13.3,       3,1.1,      38,14.4,16.0,12.1,  -1.6,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,All Grades,      92,      83,       9,90.2,95.4,89.1,745,30,       7,8.4,      13,15.7,      24,28.9,- -,- -,- -,- -,      39,47.0,44.6,42.2,   2.4,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,03,      15,< 16,- -,93.3,92.3,85.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27.8,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,04,      11,< 16,- -,72.7,100.0,100.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,05,      18,      17,       1,94.4,100.0,100.0,734,30,       4,23.5,- -,- -,- -,- -,- -,- -,- -,- -,       8,47.1,- -,50.0,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,06,      11,< 16,- -,100.0,93.8,83.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60.0,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,07,      15,< 16,- -,93.3,95.5,73.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71.4,- -,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,English Language Arts,08,      22,      19,       3,86.4,90.0,100.0,744,36,- -,- -,- -,- -,       7,36.8,- -,- -,- -,- -,       7,36.8,- -,- -,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,All Grades,      92,      83,       9,90.2,95.4,89.1,737,26,       5,6.0,      22,26.5,      30,36.1,- -,- -,- -,- -,      26,31.3,32.5,30.0,  -1.2,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,03,      15,< 16,- -,93.3,92.3,85.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38.9,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,04,      11,< 16,- -,72.7,100.0,100.0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,05,      18,      17,       1,94.4,100.0,100.0,729,22,- -,- -,- -,- -,       6,35.3,- -,- -,- -,- -,       3,17.6,- -,37.5,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,06,      11,< 16,- -,100.0,93.8,83.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35.0,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,07,      15,< 16,- -,93.3,95.5,73.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52.4,- -,- -,4th Congressional District
DISTRICT,2505,Weldon Valley RE-20(J),0000,All Schools,Mathematics,08,      22,      19,       3,86.4,90.0,100.0,737,32,- -,- -,- -,- -,       6,31.6,- -,- -,- -,- -,       7,36.8,- -,- -,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,All Grades,     428,      21,     407,4.9,65.4,90.5,730,33,       4,19.0,       5,23.8,       7,33.3,- -,- -,- -,- -,       5,23.8,40.4,40.6, -16.6,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,03,      65,< 16,- -,6.2,92.8,94.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46.9,34.8,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,04,      79,< 16,- -,10.1,90.9,98.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28.6,43.9,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,05,      80,< 16,- -,1.3,94.9,95.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55.4,55.6,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,06,      68,< 16,- -,5.9,84.9,87.5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42.2,46.0,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,07,      62,< 16,- -,4.8,18.1,75.4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41.3,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,English Language Arts,08,      74,< 16,- -,1.4,11.7,93.5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25.9,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,All Grades,     428,      20,     408,4.7,65.4,90.5,728,23,- -,- -,- -,- -,       6,30.0,- -,- -,- -,- -,       3,15.0,31.8,23.0, -16.8,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,03,      65,< 16,- -,6.2,92.8,94.3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50.0,43.9,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,04,      79,< 16,- -,10.1,90.9,96.6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31.4,26.8,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,05,      80,< 16,- -,0.0,94.9,95.7,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33.9,20.0,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,06,      68,< 16,- -,5.9,84.9,87.5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6.3,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,07,      62,< 16,- -,4.8,18.1,75.4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19.6,- -,4th Congressional District
DISTRICT,2515,Wiggins RE-50(J),0000,All Schools,Mathematics,08,      74,< 16,- -,1.4,11.7,95.2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18.6,- -,4th Congressional District
