District Code,District Name,Content,Grade,2025,2024,2023
0170,Deer Trail 26J,Mathematics,08,- -,- -,- -
0180,Adams-Arapahoe 28J,English Language Arts,All Grades,24.8,24.2,23.3
0180,Adams-Arapahoe 28J,English Language Arts,03,20.4,21.3,19.8
0180,Adams-Arapahoe 28J,English Language Arts,04,19.6,20.8,23.3
0180,Adams-Arapahoe 28J,English Language Arts,05,27.2,25.0,24.6
0180,Adams-Arapahoe 28J,English Language Arts,06,25.5,25.4,23.5
0180,Adams-Arapahoe 28J,English Language Arts,07,29.7,28.0,25.0
0180,Adams-Arapahoe 28J,English Language Arts,08,27.6,25.6,24.0
0180,Adams-Arapahoe 28J,Spanish Language Arts,All Grades,10.5,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,03,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Spanish Language Arts,04,- -,N/A,N/A
0180,Adams-Arapahoe 28J,Mathematics,All Grades,18.4,15.9,15.2
0180,Adams-Arapahoe 28J,Mathematics,03,20.8,18.4,18.0
0180,Adams-Arapahoe 28J,Mathematics,04,18.2,15.0,15.5
0180,Adams-Arapahoe 28J,Mathematics,05,18.2,17.2,17.0
0180,Adams-Arapahoe 28J,Mathematics,06,16.6,14.6,11.6
0180,Adams-Arapahoe 28J,Mathematics,07,18.9,13.7,11.6
0180,Adams-Arapahoe 28J,Mathematics,08,17.5,16.3,17.3
0190,Byers 32J,English Language Arts,All Grades,41.4,35.3,42.9
0190,Byers 32J,English Language Arts,03,46.3,54.9,46.5
0190,Byers 32J,English Language Arts,04,48.5,35.2,44.8
0190,Byers 32J,English Language Arts,05,55.1,37.3,43.2
0190,Byers 32J,English Language Arts,06,42.9,25.4,44.9
0190,Byers 32J,English Language Arts,07,40.5,30.3,38.6
0190,Byers 32J,English Language Arts,08,8.6,34.1,42.6
0190,Byers 32J,Mathematics,All Grades,33.6,25.9,31.6
0190,Byers 32J,Mathematics,03,52.5,53.1,61.9
0190,Byers 32J,Mathematics,04,40.6,32.1,37.9
0190,Byers 32J,Mathematics,05,31.3,27.5,27.8
0190,Byers 32J,Mathematics,06,33.3,19.7,26.5
0190,Byers 32J,Mathematics,07,25.0,21.5,25.7
0190,Byers 32J,Mathematics,08,17.6,14.0,20.3
0220,Archuleta County 50 Jt,English Language Arts,All Grades,41.4,39.8,29.7
0220,Archuleta County 50 Jt,English Language Arts,03,32.7,34.5,34.1
0220,Archuleta County 50 Jt,English Language Arts,04,30.9,30.0,36.1
0220,Archuleta County 50 Jt,English Language Arts,05,40.0,44.9,23.6
0220,Archuleta County 50 Jt,English Language Arts,06,50.0,38.6,27.3
0220,Archuleta County 50 Jt,English Language Arts,07,45.4,47.8,29.6
0220,Archuleta County 50 Jt,English Language Arts,08,46.8,41.7,26.9
0220,Archuleta County 50 Jt,Mathematics,All Grades,27.9,27.3,20.1
0220,Archuleta County 50 Jt,Mathematics,03,35.7,33.0,27.4
0220,Archuleta County 50 Jt,Mathematics,04,27.7,19.2,29.5
0220,Archuleta County 50 Jt,Mathematics,05,23.6,36.1,8.3
0220,Archuleta County 50 Jt,Mathematics,06,27.3,22.1,16.5
0220,Archuleta County 50 Jt,Mathematics,07,24.4,25.4,14.0
0220,Archuleta County 50 Jt,Mathematics,08,28.8,29.1,23.9
0230,Walsh RE-1,English Language Arts,All Grades,39.7,41.6,44.0
0230,Walsh RE-1,English Language Arts,03,- -,- -,- -
0230,Walsh RE-1,English Language Arts,04,- -,- -,31.3
0230,Walsh RE-1,English Language Arts,05,- -,- -,50.0
0230,Walsh RE-1,English Language Arts,06,- -,52.6,- -
0230,Walsh RE-1,English Language Arts,07,36.8,- -,- -
0230,Walsh RE-1,English Language Arts,08,- -,- -,- -
0230,Walsh RE-1,Mathematics,All Grades,20.5,28.9,27.4
0230,Walsh RE-1,Mathematics,03,- -,- -,- -
0230,Walsh RE-1,Mathematics,04,- -,- -,- -
0230,Walsh RE-1,Mathematics,05,- -,- -,27.8
0230,Walsh RE-1,Mathematics,06,- -,42.1,- -
0230,Walsh RE-1,Mathematics,07,15.8,- -,- -
0230,Walsh RE-1,Mathematics,08,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,All Grades,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,03,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,04,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,05,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,06,- -,N/A,N/A
0240,Pritchett RE-3,English Language Arts,07,- -,- -,- -
0240,Pritchett RE-3,English Language Arts,08,- -,- -,- -
0240,Pritchett RE-3,Mathematics,All Grades,- -,- -,- -
0240,Pritchett RE-3,Mathematics,03,- -,- -,- -
0240,Pritchett RE-3,Mathematics,04,- -,- -,- -
0240,Pritchett RE-3,Mathematics,05,- -,- -,- -
0240,Pritchett RE-3,Mathematics,06,- -,N/A,N/A
0240,Pritchett RE-3,Mathematics,07,- -,- -,- -
0240,Pritchett RE-3,Mathematics,08,- -,- -,- -
0250,Springfield RE-4,English Language Arts,All Grades,25.2,20.4,28.7
0250,Springfield RE-4,English Language Arts,03,33.3,22.2,38.1
0250,Springfield RE-4,English Language Arts,04,26.3,25.0,33.3
0250,Springfield RE-4,English Language Arts,05,- -,21.1,26.1
0250,Springfield RE-4,English Language Arts,06,22.2,15.0,28.6
0250,Springfield RE-4,English Language Arts,07,17.6,27.8,21.7
0250,Springfield RE-4,English Language Arts,08,- -,13.6,25.0
0250,Springfield RE-4,Mathematics,All Grades,16.5,23.5,16.3
0250,Springfield RE-4,Mathematics,03,27.8,66.7,38.1
0250,Springfield RE-4,Mathematics,04,15.8,25.0,- -
0250,Springfield RE-4,Mathematics,05,- -,- -,13.0
0250,Springfield RE-4,Mathematics,06,16.7,- -,- -
0250,Springfield RE-4,Mathematics,07,- -,- -,13.6
0250,Springfield RE-4,Mathematics,08,- -,26.1,19.0
0260,Vilas RE-5,English Language Arts,All Grades,- -,- -,- -
0260,Vilas RE-5,English Language Arts,03,- -,- -,- -
0260,Vilas RE-5,English Language Arts,04,- -,- -,- -
0260,Vilas RE-5,English Language Arts,05,- -,- -,- -
0260,Vilas RE-5,English Language Arts,06,- -,- -,- -
0260,Vilas RE-5,English Language Arts,07,- -,- -,- -
0260,Vilas RE-5,English Language Arts,08,- -,- -,- -
0260,Vilas RE-5,Mathematics,All Grades,- -,- -,- -
0260,Vilas RE-5,Mathematics,03,- -,- -,- -
0260,Vilas RE-5,Mathematics,04,- -,- -,- -
0260,Vilas RE-5,Mathematics,05,- -,- -,- -
0260,Vilas RE-5,Mathematics,06,- -,- -,- -
0260,Vilas RE-5,Mathematics,07,- -,- -,- -
0260,Vilas RE-5,Mathematics,08,- -,- -,- -
0270,Campo RE-6,English Language Arts,All Grades,36.4,33.3,- -
0270,Campo RE-6,English Language Arts,03,- -,- -,- -
0270,Campo RE-6,English Language Arts,04,- -,- -,- -
0270,Campo RE-6,English Language Arts,05,- -,- -,- -
0270,Campo RE-6,English Language Arts,06,- -,- -,- -
0270,Campo RE-6,English Language Arts,07,- -,- -,- -
0270,Campo RE-6,English Language Arts,08,- -,- -,- -
0270,Campo RE-6,Mathematics,All Grades,18.2,16.7,- -
0270,Campo RE-6,Mathematics,03,- -,- -,- -
0270,Campo RE-6,Mathematics,04,- -,- -,- -
0270,Campo RE-6,Mathematics,05,- -,- -,- -
0270,Campo RE-6,Mathematics,06,- -,- -,- -
0270,Campo RE-6,Mathematics,07,- -,- -,- -
0270,Campo RE-6,Mathematics,08,- -,- -,- -
0290,Las Animas RE-1,English Language Arts,All Grades,40.5,25.6,28.5
0290,Las Animas RE-1,English Language Arts,03,59.4,33.3,41.0
0290,Las Animas RE-1,English Language Arts,04,52.2,31.4,29.4
0290,Las Animas RE-1,English Language Arts,05,48.5,40.0,31.7
0290,Las Animas RE-1,English Language Arts,06,50.0,36.1,25.6
0290,Las Animas RE-1,English Language Arts,07,29.4,18.0,14.3
0290,Las Animas RE-1,English Language Arts,08,14.6,11.5,31.1
0290,Las Animas RE-1,Mathematics,All Grades,24.5,13.9,14.2
0290,Las Animas RE-1,Mathematics,03,53.1,34.5,30.8
0290,Las Animas RE-1,Mathematics,04,25.0,14.3,22.9
0290,Las Animas RE-1,Mathematics,05,20.6,32.3,15.0
0290,Las Animas RE-1,Mathematics,06,42.4,- -,- -
0290,Las Animas RE-1,Mathematics,07,- -,6.1,- -
0290,Las Animas RE-1,Mathematics,08,- -,- -,8.6
0310,McClave Re-2,English Language Arts,All Grades,65.1,54.3,53.9
0310,McClave Re-2,English Language Arts,03,- -,- -,30.0
0310,McClave Re-2,English Language Arts,04,- -,28.6,- -
0310,McClave Re-2,English Language Arts,05,57.9,- -,- -
0310,McClave Re-2,English Language Arts,06,- -,- -,- -
0310,McClave Re-2,English Language Arts,07,73.7,76.5,- -
0310,McClave Re-2,English Language Arts,08,- -,62.5,65.2
0310,McClave Re-2,Mathematics,All Grades,69.8,59.6,57.8
0310,McClave Re-2,Mathematics,03,- -,- -,55.0
0310,McClave Re-2,Mathematics,04,- -,33.3,- -
0310,McClave Re-2,Mathematics,05,68.4,- -,- -
0310,McClave Re-2,Mathematics,06,- -,- -,- -
0310,McClave Re-2,Mathematics,07,63.2,52.9,- -
0310,McClave Re-2,Mathematics,08,- -,81.3,56.5
0470,St Vrain Valley RE1J,English Language Arts,All Grades,50.9,50.3,49.2
0470,St Vrain Valley RE1J,English Language Arts,03,47.8,47.6,45.1
0470,St Vrain Valley RE1J,English Language Arts,04,49.4,48.1,50.1
0470,St Vrain Valley RE1J,English Language Arts,05,52.5,54.9,53.3
0470,St Vrain Valley RE1J,English Language Arts,06,50.7,49.8,48.4
0470,St Vrain Valley RE1J,English Language Arts,07,55.4,52.6,52.1
0470,St Vrain Valley RE1J,English Language Arts,08,50.2,48.8,46.0
0470,St Vrain Valley RE1J,Spanish Language Arts,All Grades,- -,- -,16.7
0470,St Vrain Valley RE1J,Spanish Language Arts,03,- -,- -,- -
0470,St Vrain Valley RE1J,Spanish Language Arts,04,- -,- -,- -
0470,St Vrain Valley RE1J,Mathematics,All Grades,45.4,42.5,40.4
0470,St Vrain Valley RE1J,Mathematics,03,50.9,49.4,46.5
0470,St Vrain Valley RE1J,Mathematics,04,45.2,40.8,42.3
0470,St Vrain Valley RE1J,Mathematics,05,47.4,47.6,46.3
0470,St Vrain Valley RE1J,Mathematics,06,40.9,36.0,35.3
0470,St Vrain Valley RE1J,Mathematics,07,40.8,38.3,31.1
0470,St Vrain Valley RE1J,Mathematics,08,46.3,41.9,40.9
0480,Boulder Valley Re 2,English Language Arts,All Grades,65.6,63.2,60.8
0480,Boulder Valley Re 2,English Language Arts,03,61.4,62.6,58.5
0480,Boulder Valley Re 2,English Language Arts,04,66.4,64.6,61.6
0480,Boulder Valley Re 2,English Language Arts,05,67.4,65.2,67.0
0480,Boulder Valley Re 2,English Language Arts,06,63.7,61.9,60.2
0480,Boulder Valley Re 2,English Language Arts,07,69.8,64.9,60.9
0480,Boulder Valley Re 2,English Language Arts,08,64.9,60.1,56.1
0480,Boulder Valley Re 2,Spanish Language Arts,All Grades,11.1,6.7,11.2
0480,Boulder Valley Re 2,Spanish Language Arts,03,6.4,5.4,12.7
0480,Boulder Valley Re 2,Spanish Language Arts,04,14.8,8.0,9.7
0480,Boulder Valley Re 2,Mathematics,All Grades,55.1,53.5,50.6
0480,Boulder Valley Re 2,Mathematics,03,56.8,61.0,60.2
0480,Boulder Valley Re 2,Mathematics,04,54.3,54.1,49.9
0480,Boulder Valley Re 2,Mathematics,05,63.0,60.5,59.1
0480,Boulder Valley Re 2,Mathematics,06,49.8,49.2,44.4
0480,Boulder Valley Re 2,Mathematics,07,51.3,46.6,40.7
0480,Boulder Valley Re 2,Mathematics,08,55.8,49.6,49.2
0490,Buena Vista R-31,English Language Arts,All Grades,43.3,36.5,37.9
0490,Buena Vista R-31,English Language Arts,03,38.1,42.6,28.6
0490,Buena Vista R-31,English Language Arts,04,42.6,29.0,39.3
0490,Buena Vista R-31,English Language Arts,05,35.2,51.6,33.3
0490,Buena Vista R-31,English Language Arts,06,52.6,32.9,43.8
0490,Buena Vista R-31,English Language Arts,07,44.6,39.3,32.9
0490,Buena Vista R-31,English Language Arts,08,46.6,24.6,50.0
0490,Buena Vista R-31,Mathematics,All Grades,27.5,22.6,25.3
0490,Buena Vista R-31,Mathematics,03,27.0,37.7,17.5
0490,Buena Vista R-31,Mathematics,04,31.1,12.9,19.7
0490,Buena Vista R-31,Mathematics,05,16.1,24.6,9.7
0490,Buena Vista R-31,Mathematics,06,38.6,20.5,31.3
