FISCAL_YEAR,ORG_CODE,GRANT_TYPE,AMOUNT,TOTAL_STUDENTS,NON_CHARTER_STUDENTS,CHARTER_STUDENTS,PER_PUPIL
2023-2024,1020,State/Local," 	49,465,134.81 "," 	3,764 "," 	3,764 ", 	-   ," 	13,142 "
2023-2024,1030,Federal," 	679,771.93 "," 	1,238 "," 	1,238 ", 	-   , 	549 
2023-2024,1030,State/Local," 	22,748,958.16 "," 	1,238 "," 	1,238 ", 	-   ," 	18,376 "
2023-2024,1040,Federal," 	12,348,949.52 "," 	26,607 "," 	22,270 "," 	4,337 ", 	464 
2023-2024,1040,State/Local," 	316,818,481.41 "," 	26,607 "," 	22,270 "," 	4,337 "," 	11,907 "
2023-2024,1050,Federal," 	1,139,384.19 ", 	990 , 	990 , 	-   ," 	1,151 "
2023-2024,1050,State/Local," 	13,341,003.29 ", 	990 , 	990 , 	-   ," 	13,476 "
2023-2024,1060,Federal," 	313,824.00 ", 	605 , 	605 , 	-   , 	519 
2023-2024,1060,State/Local," 	7,764,535.60 ", 	605 , 	605 , 	-   ," 	12,834 "
2023-2024,1070,Federal," 	227,212.36 ", 	271 , 	271 , 	-   , 	838 
2023-2024,1070,State/Local," 	5,390,538.91 ", 	271 , 	271 , 	-   ," 	19,891 "
2023-2024,1080,Federal," 	2,538,788.73 "," 	6,545 "," 	5,380 "," 	1,165 ", 	388 
2023-2024,1080,State/Local," 	79,895,921.30 "," 	6,545 "," 	5,380 "," 	1,165 "," 	12,207 "
2023-2024,1110,Federal," 	16,815,702.75 "," 	25,799 "," 	14,049 "," 	11,750 ", 	652 
2023-2024,1110,State/Local," 	305,109,506.67 "," 	25,799 "," 	14,049 "," 	11,750 "," 	11,826 "
2023-2024,1120,Federal," 	54,833.64 ", 	74 , 	74 , 	-   , 	741 
2023-2024,1120,State/Local," 	2,087,286.83 ", 	74 , 	74 , 	-   ," 	28,207 "
2023-2024,1130,Federal," 	454,814.41 ", 	406 , 	406 , 	-   ," 	1,120 "
2023-2024,1130,State/Local," 	5,475,009.37 ", 	406 , 	406 , 	-   ," 	13,485 "
2023-2024,1140,Federal," 	7,243,943.45 "," 	3,177 "," 	2,930 ", 	247 ," 	2,280 "
2023-2024,1140,State/Local," 	42,704,085.28 "," 	3,177 "," 	2,930 ", 	247 ," 	13,442 "
2023-2024,1150,Federal," 	2,179,303.00 "," 	1,376 "," 	1,376 ", 	-   ," 	1,584 "
2023-2024,1150,State/Local," 	16,328,161.00 "," 	1,376 "," 	1,376 ", 	-   ," 	11,866 "
2023-2024,1160,Federal," 	310,599.67 ", 	167 , 	167 , 	-   ," 	1,860 "
2023-2024,1160,State/Local," 	3,314,645.62 ", 	167 , 	167 , 	-   ," 	19,848 "
2023-2024,1180,Federal," 	6,755,321.48 "," 	5,846 "," 	5,321 ", 	525 ," 	1,156 "
2023-2024,1180,State/Local," 	110,686,418.84 "," 	5,846 "," 	5,321 ", 	525 ," 	18,934 "
2023-2024,1195,Federal," 	4,565,064.08 "," 	4,786 "," 	4,786 ", 	-   , 	954 
2023-2024,1195,State/Local," 	64,902,550.25 "," 	4,786 "," 	4,786 ", 	-   ," 	13,561 "
2023-2024,1220,Federal," 	903,456.59 "," 	1,171 "," 	1,171 ", 	-   , 	772 
2023-2024,1220,State/Local," 	17,582,742.88 "," 	1,171 "," 	1,171 ", 	-   ," 	15,015 "
2023-2024,1330,Federal," 	254,410.84 ", 	390 , 	390 , 	-   , 	652 
2023-2024,1330,State/Local," 	6,977,412.38 ", 	390 , 	390 , 	-   ," 	17,891 "
2023-2024,1340,Federal," 	274,856.03 ", 	411 , 	411 , 	-   , 	669 
2023-2024,1340,State/Local," 	6,925,911.44 ", 	411 , 	411 , 	-   ," 	16,851 "
2023-2024,1350,Federal," 	776,573.20 "," 	1,286 "," 	1,286 ", 	-   , 	604 
2023-2024,1350,State/Local," 	21,983,958.50 "," 	1,286 "," 	1,286 ", 	-   ," 	17,095 "
2023-2024,1360,Federal," 	1,518,311.41 "," 	2,066 "," 	2,021 ", 	45 , 	735 
2023-2024,1360,State/Local," 	34,790,510.81 "," 	2,066 "," 	2,021 ", 	45 ," 	16,840 "
2023-2024,1380,Federal," 	87,183.38 ", 	76 , 	76 , 	-   ," 	1,147 "
2023-2024,1380,State/Local," 	1,992,120.16 ", 	76 , 	76 , 	-   ," 	26,212 "
2023-2024,1390,Federal," 	99,858.99 ", 	478 , 	392 , 	86 , 	209 
2023-2024,1390,State/Local," 	1,001,475.46 ", 	478 , 	392 , 	86 ," 	2,095 "
2023-2024,1400,Federal," 	437,789.06 ", 	218 , 	218 , 	-   ," 	2,008 "
2023-2024,1400,State/Local," 	4,380,575.53 ", 	218 , 	218 , 	-   ," 	20,094 "
2023-2024,1410,Federal," 	332,000.94 ", 	155 , 	155 , 	-   ," 	2,142 "
2023-2024,1410,State/Local," 	3,496,056.27 ", 	155 , 	155 , 	-   ," 	22,555 "
2023-2024,1420,Federal," 	77,059,088.09 "," 	76,188 "," 	67,038 "," 	9,150 "," 	1,011 "
2023-2024,1420,State/Local," 	1,111,047,720.25 "," 	76,188 "," 	67,038 "," 	9,150 "," 	14,583 "
2023-2024,1430,Federal," 	137,469.35 ", 	217 , 	217 , 	-   , 	633 
2023-2024,1430,State/Local," 	3,250,771.32 ", 	217 , 	217 , 	-   ," 	14,981 "
2023-2024,1440,Federal," 	90,367.79 ", 	398 , 	398 , 	-   , 	227 
2023-2024,1440,State/Local," 	2,935,403.52 ", 	398 , 	398 , 	-   ," 	7,375 "
2023-2024,1450,Federal," 	89,072.20 ", 	175 , 	175 , 	-   , 	509 
2023-2024,1450,State/Local," 	3,093,176.53 ", 	175 , 	175 , 	-   ," 	17,675 "
2023-2024,1480,Federal," 	343,100.04 ", 	220 , 	220 , 	-   ," 	1,560 "
2023-2024,1480,State/Local," 	3,350,815.78 ", 	220 , 	220 , 	-   ," 	15,231 "
2023-2024,1490,Federal," 	59,459.11 ", 	110 , 	110 , 	-   , 	541 
2023-2024,1490,State/Local," 	2,553,429.04 ", 	110 , 	110 , 	-   ," 	23,213 "
2023-2024,1500,Federal," 	404,466.45 ", 	768 , 	768 , 	-   , 	527 
2023-2024,1500,State/Local," 	9,140,104.97 ", 	768 , 	768 , 	-   ," 	11,901 "
2023-2024,1510,Federal," 	3,168,720.22 ", 	977 , 	977 , 	-   ," 	3,243 "
2023-2024,1510,State/Local," 	17,113,995.82 ", 	977 , 	977 , 	-   ," 	17,517 "
2023-2024,1520,Federal," 	4,737,617.26 "," 	5,267 "," 	5,098 ", 	169 , 	899 
2023-2024,1520,State/Local," 	84,932,335.01 "," 	5,267 "," 	5,098 ", 	169 ," 	16,125 "
2023-2024,1530,Federal," 	299,019.74 "," 	1,254 "," 	1,254 ", 	-   , 	238 
2023-2024,1530,State/Local," 	18,977,823.77 "," 	1,254 "," 	1,254 ", 	-   ," 	15,134 "
2023-2024,1540,Federal," 	1,786,398.09 ", 	649 , 	649 , 	-   ," 	2,753 "
2023-2024,1540,State/Local," 	12,827,102.30 ", 	649 , 	649 , 	-   ," 	19,764 "
2023-2024,1550,Federal," 	21,644,906.09 "," 	29,914 "," 	26,969 "," 	2,945 ", 	724 
2023-2024,1550,State/Local," 	479,221,434.27 "," 	29,914 "," 	26,969 "," 	2,945 "," 	16,020 "
2023-2024,1560,Federal," 	13,636,977.09 "," 	15,039 "," 	13,026 "," 	2,013 ", 	907 
2023-2024,1560,State/Local," 	214,079,190.52 "," 	15,039 "," 	13,026 "," 	2,013 "," 	14,235 "
2023-2024,1570,Federal," 	1,597,647.27 "," 	1,015 "," 	1,015 ", 	-   ," 	1,574 "
2023-2024,1570,State/Local," 	16,219,999.42 "," 	1,015 "," 	1,015 ", 	-   ," 	15,980 "
2023-2024,1580,Federal," 	2,352,722.77 ", 	744 , 	744 , 	-   ," 	3,162 "
2023-2024,1580,State/Local," 	9,262,767.97 ", 	744 , 	744 , 	-   ," 	12,450 "
2023-2024,1590,Federal," 	121,229.18 ", 	252 , 	252 , 	-   , 	481 
2023-2024,1590,State/Local," 	4,011,630.60 ", 	252 , 	252 , 	-   ," 	15,919 "
2023-2024,1600,Federal," 	125,213.26 ", 	293 , 	293 , 	-   , 	427 
2023-2024,1600,State/Local," 	4,258,846.74 ", 	293 , 	293 , 	-   ," 	14,535 "
2023-2024,1620,Federal," 	350,411.97 ", 	117 , 	117 , 	-   ," 	2,995 "
2023-2024,1620,State/Local," 	2,727,304.23 ", 	117 , 	117 , 	-   ," 	23,310 "
2023-2024,1750,Federal," 	376,210.21 ", 	404 , 	404 , 	-   , 	931 
2023-2024,1750,State/Local," 	4,388,592.44 ", 	404 , 	404 , 	-   ," 	10,863 "
2023-2024,1760,Federal," 	56,724.75 ", 	26 , 	26 , 	-   ," 	2,182 "
2023-2024,1760,State/Local," 	1,258,485.13 ", 	26 , 	26 , 	-   ," 	48,403 "
2023-2024,1780,Federal," 	139,630.78 ", 	229 , 	229 , 	-   , 	610 
2023-2024,1780,State/Local," 	3,847,463.45 ", 	229 , 	229 , 	-   ," 	16,801 "
2023-2024,1790,Federal," 	409,069.65 ", 	469 , 	469 , 	-   , 	872 
2023-2024,1790,State/Local," 	6,650,883.02 ", 	469 , 	469 , 	-   ," 	14,181 "
2023-2024,1810,Federal," 	83,586.48 ", 	36 , 	36 , 	-   ," 	2,322 "
2023-2024,1810,State/Local," 	1,367,835.30 ", 	36 , 	36 , 	-   ," 	37,995 "
2023-2024,1828,Federal," 	4,926,711.52 "," 	1,887 "," 	1,887 ", 	-   ," 	2,611 "
2023-2024,1828,State/Local," 	24,060,530.83 "," 	1,887 "," 	1,887 ", 	-   ," 	12,751 "
2023-2024,1850,Federal," 	299,119.77 ", 	221 , 	221 , 	-   ," 	1,353 "
2023-2024,1850,State/Local," 	3,556,908.40 ", 	221 , 	221 , 	-   ," 	16,095 "
2023-2024,1860,Federal," 	125,721.61 ", 	323 , 	323 , 	-   , 	389 
2023-2024,1860,State/Local," 	5,084,312.25 ", 	323 , 	323 , 	-   ," 	15,741 "
2023-2024,1870,Federal," 	135,449.42 ", 	201 , 	201 , 	-   , 	674 
2023-2024,1870,State/Local," 	3,623,783.68 ", 	201 , 	201 , 	-   ," 	18,029 "
2023-2024,1980,Federal," 	23,587.00 ", 	168 , 	168 , 	-   , 	140 
2023-2024,1980,State/Local," 	3,439,499.81 ", 	168 , 	168 , 	-   ," 	20,473 "
2023-2024,1990,Federal," 	434,107.66 ", 	310 , 	310 , 	-   ," 	1,400 "
2023-2024,1990,State/Local," 	4,783,783.08 ", 	310 , 	310 , 	-   ," 	15,432 "
2023-2024,2000,Federal," 	30,445,455.30 "," 	20,218 "," 	19,030 "," 	1,188 "," 	1,506 "
2023-2024,2000,State/Local," 	270,040,887.27 "," 	20,218 "," 	19,030 "," 	1,188 "," 	13,356 "
2023-2024,2010,Federal," 	71,978.30 ", 	95 , 	95 , 	-   , 	758 
2023-2024,2010,State/Local," 	2,364,098.71 ", 	95 , 	95 , 	-   ," 	24,885 "
2023-2024,2020,Federal," 	1,601,770.08 "," 	1,916 "," 	1,916 ", 	-   , 	836 
2023-2024,2020,State/Local," 	30,967,404.92 "," 	1,916 "," 	1,916 ", 	-   ," 	16,163 "
2023-2024,2035,Federal," 	8,981,781.14 "," 	2,517 "," 	2,108 ", 	409 ," 	3,568 "
2023-2024,2035,State/Local," 	29,489,874.25 "," 	2,517 "," 	2,108 ", 	409 ," 	11,716 "
2023-2024,2055,Federal," 	943,099.17 ", 	680 , 	680 , 	-   ," 	1,387 "
2023-2024,2055,State/Local," 	9,186,057.73 ", 	680 , 	680 , 	-   ," 	13,509 "
2023-2024,2070,Federal," 	880,273.49 ", 	521 , 	521 , 	-   ," 	1,690 "
2023-2024,2070,State/Local," 	7,093,842.15 ", 	521 , 	521 , 	-   ," 	13,616 "
2023-2024,2180,Federal," 	8,173,499.11 "," 	6,038 "," 	5,861 ", 	177 ," 	1,354 "
2023-2024,2180,State/Local," 	75,994,445.85 "," 	6,038 "," 	5,861 ", 	177 ," 	12,586 "
2023-2024,2190,Federal," 	289,891.20 ", 	256 , 	256 , 	-   ," 	1,132 "
2023-2024,2190,State/Local," 	4,014,643.09 ", 	256 , 	256 , 	-   ," 	15,682 "
2023-2024,2395,Federal," 	467,540.36 "," 	1,430 "," 	1,430 ", 	-   , 	327 
2023-2024,2395,State/Local," 	22,128,458.74 "," 	1,430 "," 	1,430 ", 	-   ," 	15,474 "
2023-2024,2405,Federal," 	6,681,304.48 "," 	3,427 "," 	3,427 ", 	-   ," 	1,950 "
2023-2024,2405,State/Local," 	39,988,584.58 "," 	3,427 "," 	3,427 ", 	-   ," 	11,669 "
2023-2024,2505,Federal," 	271,245.74 ", 	209 , 	209 , 	-   ," 	1,298 "
2023-2024,2505,State/Local," 	3,347,830.18 ", 	209 , 	209 , 	-   ," 	16,018 "
2023-2024,2515,Federal," 	1,099,919.87 ", 	880 , 	880 , 	-   ," 	1,250 "
2023-2024,2515,State/Local," 	9,751,283.18 ", 	880 , 	880 , 	-   ," 	11,081 "
2023-2024,2520,Federal," 	3,235,903.65 "," 	1,326 "," 	1,326 ", 	-   ," 	2,440 "
2023-2024,2520,State/Local," 	18,488,742.40 "," 	1,326 "," 	1,326 ", 	-   ," 	13,943 "
2023-2024,2530,Federal," 	1,381,456.34 ", 	616 , 	616 , 	-   ," 	2,243 "
2023-2024,2530,State/Local," 	13,107,433.68 ", 	616 , 	616 , 	-   ," 	21,278 "
2023-2024,2535,Federal," 	267,548.63 ", 	181 , 	181 , 	-   ," 	1,478 "
2023-2024,2535,State/Local," 	3,127,875.38 ", 	181 , 	181 , 	-   ," 	17,281 "
2023-2024,2560,Federal," 	245,838.08 ", 	222 , 	222 , 	-   ," 	1,107 "
2023-2024,2560,State/Local," 	3,736,713.74 ", 	222 , 	222 , 	-   ," 	16,832 "
2023-2024,2570,Federal," 	451,086.87 ", 	302 , 	302 , 	-   ," 	1,494 "
2023-2024,2570,State/Local," 	4,538,905.82 ", 	302 , 	302 , 	-   ," 	15,029 "
2023-2024,2580,Federal," 	148,424.90 ", 	169 , 	169 , 	-   , 	878 
2023-2024,2580,State/Local," 	3,576,470.14 ", 	169 , 	169 , 	-   ," 	21,163 "
2023-2024,2590,Federal," 	84,537.96 ", 	333 , 	333 , 	-   , 	254 
2023-2024,2590,State/Local," 	6,823,468.60 ", 	333 , 	333 , 	-   ," 	20,491 "
2023-2024,2600,Federal," 	588,744.41 ", 	740 , 	740 , 	-   , 	796 
2023-2024,2600,State/Local," 	11,064,254.57 ", 	740 , 	740 , 	-   ," 	14,952 "
